Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,MonetaryRank
13,23,21265.49,4,3,2,432,Potential Loyalist.,604.0
35,30,28654.309,3,5,5,355,Potential Loyalist.,160.0
18,24,23884.03,4,3,3,433,Potential Loyalist.,428.0
81,25,24206.03,1,4,3,143,Potential Loyalist.,408.0
8,19,25565.3,5,1,4,514,Hibernating,324.0
24,29,29459.82,4,5,5,455,Loyal Customers,135.0
11,28,27922.36,5,5,5,555,Champions,198.0
86,15,14957.061,1,1,1,111,At Risk.,936.0
3,19,19479.25,5,1,2,512,Hibernating,715.0
7,25,22832.83,5,4,3,543,Loyal Customers,508.0
14,20,20932.93,4,2,2,422,Potential Loyalist.,629.0
17,22,23159.47,4,2,3,423,Potential Loyalist.,489.0
59,28,26626.07,2,5,4,254,Potential Loyalist.,259.0
13,19,14536.66,4,1,1,411,Potential Loyalist.,945.0
32,21,23325.0,3,2,3,323,Potential Loyalist.,474.0
6,20,26315.71,5,2,4,524,Hibernating,280.0
4,24,24607.24,5,3,4,534,Hibernating,389.0
42,25,21241.48,3,4,2,342,Potential Loyalist.,607.0
72,19,20383.92,2,1,2,212,At Risk.,653.0
155,25,24529.64,1,4,4,144,Potential Loyalist.,393.0
4,22,19111.42,5,2,2,522,Hibernating,741.0
19,20,18806.9,4,2,2,422,Potential Loyalist.,757.0
60,15,21368.65,2,1,3,213,At Risk.,598.0
79,27,30622.22,1,4,5,145,Potential Loyalist.,91.0
8,24,25362.43,5,3,4,534,Hibernating,333.0
4,19,14074.55,5,1,1,511,Hibernating,958.0
69,25,23621.41,2,4,3,243,Potential Loyalist.,448.0
30,20,22327.31,3,2,3,323,Potential Loyalist.,541.0
11,18,18921.46,5,1,2,512,Hibernating,753.0
41,24,27318.86,3,3,4,334,Potential Loyalist.,220.0
72,17,15128.2295,2,1,1,211,At Risk.,932.0
35,23,25724.97,3,3,4,334,Potential Loyalist.,309.0
44,27,30688.06,2,4,5,245,Potential Loyalist.,90.0
1,16,12485.71,5,1,1,511,Hibernating,987.0
153,21,30387.64,1,2,5,125,At Risk.,98.0
29,30,32232.781,3,5,5,355,Potential Loyalist.,51.0
39,17,12860.83,3,1,1,311,Potential Loyalist.,981.0
107,27,27130.43,1,4,4,144,Potential Loyalist.,229.0
18,24,23476.27,4,3,3,433,Potential Loyalist.,462.0
58,22,23178.1,2,2,3,223,At Risk.,487.0
9,23,24650.49,5,3,4,534,Hibernating,384.0
95,21,18174.28,1,2,2,122,At Risk.,798.0
69,17,18488.29,2,1,2,212,At Risk.,777.0
29,30,29659.3,3,5,5,355,Potential Loyalist.,121.0
111,23,28420.19,1,3,5,135,Potential Loyalist.,170.0
11,27,26609.66,5,4,4,544,Loyal Customers,262.0
11,30,30458.69,5,5,5,555,Champions,94.0
30,18,19168.24,3,1,2,312,Potential Loyalist.,734.0
30,18,19989.84,3,1,2,312,Potential Loyalist.,681.0
16,34,35725.15,4,5,5,455,Loyal Customers,21.0
16,17,19831.64,4,1,2,412,Potential Loyalist.,696.0
23,23,24862.97,4,3,4,434,Potential Loyalist.,365.0
114,23,22263.09,1,3,3,133,Potential Loyalist.,547.0
29,30,41674.56,3,5,5,355,Potential Loyalist.,3.0
20,33,36861.79,4,5,5,455,Loyal Customers,11.0
5,27,26342.37,5,4,4,544,Loyal Customers,275.0
32,30,32921.23,3,5,5,355,Potential Loyalist.,38.0
131,21,21213.26,1,2,2,122,At Risk.,609.0
61,24,22180.19,2,3,3,233,Potential Loyalist.,554.0
19,23,21670.18,4,3,3,433,Potential Loyalist.,588.0
32,26,29647.629,3,4,5,345,Potential Loyalist.,122.0
5,21,19094.82,5,2,2,522,Hibernating,743.0
18,27,30194.73,4,4,5,445,Loyal Customers,104.0
72,22,19584.72,2,2,2,222,At Risk.,705.0
33,26,20293.07,3,4,2,342,Potential Loyalist.,658.0
104,13,15173.99,1,1,1,111,At Risk.,929.0
26,19,16980.34,3,1,1,311,Potential Loyalist.,858.0
178,27,28540.52,1,4,5,145,Potential Loyalist.,163.0
35,20,26811.92,3,2,4,324,Potential Loyalist.,253.0
7,27,29745.91,5,4,5,545,Loyal Customers,117.0
28,25,23412.36,3,4,3,343,Potential Loyalist.,466.0
50,27,21414.22,2,4,3,243,Potential Loyalist.,595.0
62,20,19269.82,2,2,2,222,At Risk.,726.0
7,22,25019.24,5,2,4,524,Hibernating,353.0
73,18,15022.48,2,1,1,211,At Risk.,934.0
30,16,14250.63,3,1,1,311,Potential Loyalist.,954.0
16,27,34412.152,4,4,5,445,Loyal Customers,26.0
145,13,15500.2295,1,1,1,111,At Risk.,916.0
171,21,19157.39,1,2,2,122,At Risk.,737.0
183,25,27773.87,1,4,4,144,Potential Loyalist.,204.0
162,14,15268.83,1,1,1,111,At Risk.,924.0
19,28,25631.41,4,5,4,454,Loyal Customers,317.0
37,31,31861.25,3,5,5,355,Potential Loyalist.,59.0
77,24,24797.15,2,3,4,234,Potential Loyalist.,368.0
18,20,20105.379,4,2,2,422,Potential Loyalist.,669.0
39,24,22091.69,3,3,3,333,Potential Loyalist.,558.0
11,23,21872.11,5,3,3,533,Hibernating,570.0
1,18,15909.34,5,1,1,511,Hibernating,898.0
2,22,24331.62,5,2,3,523,Hibernating,402.0
126,23,17913.55,1,3,1,131,Potential Loyalist.,811.0
26,26,25428.01,3,4,4,344,Potential Loyalist.,332.0
101,16,14476.47,1,1,1,111,At Risk.,948.0
92,22,17625.85,1,2,1,121,At Risk.,830.0
